Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
WANTIRNA SOUTH,579000,676500,829000,875000,1005000,1000000,988500,1015000,1223500,1225000,1322000,26,Não,Não,Middle ring,-1.64%,23.77%,8.05%,None,0,0,0
WARBURTON,310000,315000,325000,366000,418000,495000,512500,543000,675000,733500,695000,Regional Victoria,#N/A,#N/A,Regional Victoria,22.61%,31.71%,2.96%,#N/A,#N/A,#N/A,#N/A
WARRACKNABEAL,107500,110000,110000,123500,113000,112500,118000,141000,180000,228500,240000,Regional Victoria,#N/A,#N/A,Regional Victoria,4.42%,52.54%,33.33%,#N/A,#N/A,#N/A,#N/A
WARRAGUL,315000,320000,342000,340000,365000,449000,460000,498000,580000,653500,646000,Regional Victoria,#N/A,#N/A,Regional Victoria,26.03%,26.09%,11.38%,#N/A,#N/A,#N/A,#N/A
WARRANDYTE,640000,760000,829000,890000,1042500,1110000,994000,996000,1285000,1300000,1262000,24,Não,Não,Middle ring,-4.65%,29.28%,-1.79%,None,0,0,0
WARRANWOOD,605500,665000,790000,865000,943500,1010000,935000,962000,1145000,1350000,1197500,28,Não,Não,Middle ring,-0.90%,22.46%,4.59%,None,0,0,0
WARRNAMBOOL,325000,323000,330000,320000,330000,350000,370000,415000,520000,602000,605000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.12%,40.54%,16.35%,#N/A,#N/A,#N/A,#N/A
WATERWAYS,667000,845000,902000,1050000,1127500,1110000,1285000,1408000,1445000,1600000,1690000,30,Não,Não,Middle ring,13.97%,12.45%,16.96%,None,0,0,0
WATSONIA,505000,555000,607500,698000,835000,795000,736000,790000,980000,908500,875500,16,Sim,Não,Inner suburbs,-11.86%,33.15%,-10.66%,Train only,1,0,0
WATSONIA NORTH,510000,572500,635000,702500,790000,770000,726500,795000,962500,897500,930000,17,Não,Não,Inner suburbs,-8.04%,32.48%,-3.38%,None,0,0,0
WATTLE GLEN,475000,500500,569000,580000,620000,810000,778500,810000,924000,950000,890000,28,Sim,Não,Middle ring,25.56%,18.69%,-3.68%,Train only,1,0,0
WAURN PONDS,446500,470000,480000,501000,530000,621500,641500,671000,727500,801500,826500,Regional Victoria,#N/A,#N/A,Regional Victoria,21.04%,13.41%,13.61%,#N/A,#N/A,#N/A,#N/A
WEDDERBURN,154000,137500,110000,150000,155000,130000,138500,150000,179000,310000,300000,Regional Victoria,#N/A,#N/A,Regional Victoria,-10.65%,29.24%,67.60%,#N/A,#N/A,#N/A,#N/A
WEIR VIEWS,327500,388000,389000,418000,440000,470000,465000,495500,525500,575000,560000,42,Não,Não,Fringe,5.68%,13.01%,6.57%,None,0,0,0
WENDOUREE,243000,247000,250000,252500,267500,326000,335000,370000,465000,495000,470000,Regional Victoria,#N/A,#N/A,Regional Victoria,25.23%,38.81%,1.08%,#N/A,#N/A,#N/A,#N/A
WENDOUREE WEST,190000,165000,207500,185000,200000,245000,259000,300000,380000,390000,365000,Regional Victoria,#N/A,#N/A,Regional Victoria,29.50%,46.72%,-3.95%,#N/A,#N/A,#N/A,#N/A
WERRIBEE,309000,315000,335000,403000,470000,510000,500000,515500,570000,612000,610000,32,Sim,Não,Outer ring,6.38%,14.00%,7.02%,Train only,1,0,0
WERRIBEE SOUTH,538000,585000,680000,540000,650000,735000,744500,650000,822500,880000,930000,36,Não,Não,Outer ring,14.54%,10.48%,13.07%,None,0,0,0
WESBURN,312500,288500,395000,455000,455000,463500,530000,532000,665000,661000,642500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.48%,25.47%,-3.38%,#N/A,#N/A,#N/A,#N/A
WEST FOOTSCRAY,553000,637500,697000,798000,887500,875000,785000,835000,1051500,960500,915000,6,Sim,Não,Inner city,-11.55%,33.95%,-12.98%,Train only,1,0,0
WEST MELBOURNE,905000,916000,1005000,1104500,1350000,1370000,1017500,1215000,1280000,1387500,1215000,2,Sim,Sim,Inner city,-24.63%,25.80%,-5.08%,Train and Tram,1,1,1
WEST WODONGA,272500,296000,306000,308500,321000,322000,342500,370000,428000,515000,545000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.70%,24.96%,27.34%,#N/A,#N/A,#N/A,#N/A
WESTALL,511500,550000,610000,695500,780000,800000,748000,739000,855000,897500,858000,20,Sim,Não,Inner suburbs,-4.10%,14.30%,0.35%,Train only,1,0,0
WESTGARTH,920000,1100000,1300000,1500000,1383000,1707500,1485000,1566000,2087500,1912500,1910000,4,Não,Sim,Inner city,7.38%,40.57%,-8.50%,Tram only,0,1,0
WESTMEADOWS,386500,419000,470000,500000,566000,620000,620000,605000,716000,700000,727500,17,Não,Não,Inner suburbs,9.54%,15.48%,1.61%,None,0,0,0
WHEELERS HILL,740000,805000,999000,1050000,1160000,1118500,1010000,1173500,1371000,1450000,1509000,24,Não,Não,Middle ring,-12.93%,35.74%,10.07%,None,0,0,0
WHITE HILLS,280000,306000,297500,305000,300000,313500,330000,355000,470000,510000,495000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.00%,42.42%,5.32%,#N/A,#N/A,#N/A,#N/A
WHITTINGTON,259000,262000,280000,265000,316500,395000,377500,408000,485000,532500,500000,Regional Victoria,#N/A,#N/A,Regional Victoria,19.27%,28.48%,3.09%,#N/A,#N/A,#N/A,#N/A
WHITTLESEA,375000,375000,400000,448500,469500,577500,581000,610000,675000,740000,760000,36,Não,Não,Outer ring,23.75%,16.18%,12.59%,None,0,0,0
WILLIAMS LANDING,470000,450000,510000,530000,600000,685000,657000,680000,760000,795000,799500,22,Sim,Não,Middle ring,9.50%,15.68%,5.20%,Train only,1,0,0
WILLIAMSTOWN,920000,970000,1120000,1282500,1440000,1415000,1350000,1402500,1592500,1650500,1580000,7,Sim,Não,Inner city,-6.25%,17.96%,-0.78%,Train only,1,0,0
WILLIAMSTOWN NORTH,768000,803500,862500,1135500,1003000,880000,965000,905000,1250000,1021500,1275000,8,Sim,Não,Inner city,-3.79%,29.53%,2.00%,Train only,1,0,0
WILLOW GROVE,235000,172500,135000,195000,230000,280000,388000,427500,427500,452500,600000,Regional Victoria,#N/A,#N/A,Regional Victoria,68.70%,10.18%,40.35%,#N/A,#N/A,#N/A,#N/A
WIMBLEDON HEIGHTS,271500,310000,291500,299000,334000,410000,386500,435000,592000,670000,620000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.72%,53.17%,4.73%,#N/A,#N/A,#N/A,#N/A
WINCHELSEA,287000,287500,262000,267000,357000,391000,430000,480000,552500,640000,642500,Regional Victoria,#N/A,#N/A,Regional Victoria,20.45%,28.49%,16.29%,#N/A,#N/A,#N/A,#N/A
WINDSOR,835000,956500,1094000,1505000,1420000,1422500,1350000,1350000,1645000,1650000,1460000,Regional Victoria,#N/A,#N/A,Regional Victoria,-4.93%,21.85%,-11.25%,#N/A,#N/A,#N/A,#N/A
WINTER VALLEY,344500,360000,365000,362500,375000,405000,435000,470000,573500,617500,580000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.00%,31.84%,1.13%,#N/A,#N/A,#N/A,#N/A
WODONGA,282500,295000,295000,315000,341500,350000,331500,348000,439500,520000,545000,Regional Victoria,#N/A,#N/A,Regional Victoria,-2.93%,32.58%,24.00%,#N/A,#N/A,#N/A,#N/A
WOLLERT,400000,395000,432000,460000,520000,538000,570000,573000,625000,703500,705000,28,Não,Não,Middle ring,9.62%,9.65%,12.80%,None,0,0,0
WONGA PARK,674500,673500,735000,801000,962500,1150000,1102000,1077500,1248000,1415000,1265000,28,Não,Não,Middle ring,14.49%,13.25%,1.36%,None,0,0,0
WONTHAGGI,225000,251000,262000,265000,284500,339000,375000,405000,550000,602000,555000,Regional Victoria,#N/A,#N/A,Regional Victoria,31.81%,46.67%,0.91%,#N/A,#N/A,#N/A,#N/A
WOODEND,470000,460000,482500,460000,560000,665000,747500,765000,895000,870000,965000,Regional Victoria,#N/A,#N/A,Regional Victoria,33.48%,19.73%,7.82%,#N/A,#N/A,#N/A,#N/A
WOOLAMAI WATERS,349000,381500,340000,375000,418000,469500,495500,560000,762500,874500,779000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.54%,53.88%,2.16%,#N/A,#N/A,#N/A,#N/A
WOORI YALLOCK,330000,317000,358000,391500,480000,520000,510000,552000,635000,670000,652000,55,Não,Não,Fringe,6.25%,24.51%,2.68%,None,0,0,0
WY YUNG,285000,285000,290000,333500,328000,315000,349000,370000,453000,492500,547500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.40%,29.80%,20.86%,#N/A,#N/A,#N/A,#N/A
WYCHEPROOF,95000,103000,100000,82500,100000,124500,141500,131000,170000,185000,203500,Regional Victoria,#N/A,#N/A,Regional Victoria,41.50%,20.14%,19.71%,#N/A,#N/A,#N/A,#N/A
WYNDHAM VALE,288000,306000,325000,365000,435500,474000,460500,480000,525000,580000,580000,35,Não,Não,Outer ring,5.74%,14.01%,10.48%,None,0,0,0
YACKANDANDAH,327500,318000,300000,392500,445500,472500,497500,490000,669000,653000,760000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.67%,34.47%,13.60%,#N/A,#N/A,#N/A,#N/A
YALLAMBIE,532500,579500,665000,713500,781000,810000,792500,832500,990000,1023000,942000,13,Não,Não,Inner suburbs,1.47%,24.92%,-4.85%,None,0,0,0
YALLOURN NORTH,135000,149500,153000,165500,180000,172000,191000,206000,263000,325000,319500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.11%,37.70%,21.48%,#N/A,#N/A,#N/A,#N/A
YARRA GLEN,420000,460000,530000,540000,620000,670000,670000,732500,850500,800000,784500,40,Não,Não,Outer ring,8.06%,26.94%,-7.76%,None,0,0,0
YARRA JUNCTION,406500,357500,417500,422500,537500,562500,582500,595000,687000,710000,705000,55,Não,Não,Fringe,8.37%,17.94%,2.62%,None,0,0,0
YARRAGON,258000,297000,284000,300000,280000,390000,410000,414000,582500,595000,645000,Regional Victoria,#N/A,#N/A,Regional Victoria,46.43%,42.07%,10.73%,#N/A,#N/A,#N/A,#N/A
YARRAM,190000,202500,245000,230000,225000,218000,240000,260000,360000,470000,395000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.67%,50.00%,9.72%,#N/A,#N/A,#N/A,#N/A
YARRAVILLE,696000,710000,810000,900500,1000000,1045000,971000,1030000,1185000,1210000,1100000,5,Não,Sim,Inner city,-2.90%,22.04%,-7.17%,Tram only,0,1,0
YARRAWONGA,302500,297000,300500,320000,324500,345000,375000,456500,564500,670000,640000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.56%,50.53%,13.37%,#N/A,#N/A,#N/A,#N/A
YEA,260000,255000,260000,305000,385000,390000,435500,422500,570000,617500,550000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.12%,30.88%,-3.51%,#N/A,#N/A,#N/A,#N/A
YINNAR,220000,240000,182500,230000,270000,245000,255000,292500,465000,550500,567500,Regional Victoria,#N/A,#N/A,Regional Victoria,-5.56%,82.35%,22.04%,#N/A,#N/A,#N/A,#N/A
